사업소,호기,일자,황산화물(ppm)기준,황산화물(ppm)평균,질소산화물(ppm)기준,질소산화물(ppm)평균,먼지(㎎/S㎥)기준,먼지(㎎/S㎥)평균,월,NOX_일평균,SOX_일평균,먼지,산소,유량,온도
삼천포,3A호기,202412,70.0,14.1,140.0,32.0,25.0,2.8,202412,30.118709677419357,11.840645161290322,2.793548387096774,7.004838709677419,64689.34741935484,90.79225806451613
삼천포,3B호기,202412,70.0,14.1,140.0,32.0,25.0,2.8,202412,29.27548387096774,18.273870967741935,2.555483870967742,6.738387096774194,68324.73838709678,93.46677419354837
삼천포,4A호기,202412,70.0,14.1,140.0,32.0,25.0,2.8,202412,91.53806451612903,12.256451612903225,71.72,15.737741935483871,23945.69935483871,44.005806451612905
삼천포,4B호기,202412,70.0,14.1,140.0,32.0,25.0,2.8,202412,115.2216129032258,9.22258064516129,99.04387096774194,15.816129032258065,26795.940645161292,44.36451612903225
삼천포,5A호기,202412,140.0,9.5,140.0,1.4,25.0,0.8,202412,17.608709677419355,17.235806451612902,18.985806451612905,10.26774193548387,55904.532258064515,73.41935483870968
삼천포,5B호기,202412,140.0,9.5,140.0,1.4,25.0,0.8,202412,9.651935483870966,14.589677419354837,23.536451612903225,10.340967741935483,45708.323548387096,73.44483870967741
삼천포,6A호기,202412,140.0,9.5,140.0,1.4,25.0,0.8,202412,11.944838709677418,16.84225806451613,47.59548387096774,8.113225806451613,59831.62483870968,74.22516129032257
삼천포,6B호기,202412,140.0,9.5,140.0,1.4,25.0,0.8,202412,5.027096774193549,13.633548387096774,22.697741935483872,7.944193548387097,66321.37387096774,72.86935483870967
영흥,1호기,202412,45.0,1.7,55.0,9.9,20.0,4.2,202412,1.5203225806451615,17.588064516129034,678.84,21.076129032258066,47.751935483870966,1.8412903225806452
영흥,2호기,202412,45.0,1.7,55.0,9.9,20.0,4.2,202412,0.9438709677419355,46.52645161290322,581.1612903225806,21.01225806451613,60.277096774193545,2.1396774193548387
영흥,3호기,202412,25.0,16.1,15.0,12.0,5.0,1.5,202412,5.3990322580645165,8.78225806451613,254.32709677419356,21.18064516129032,12.618709677419355,3.2174193548387096
영흥,4호기,202412,25.0,16.1,15.0,12.0,5.0,1.5,202412,12.01516129032258,16.18806451612903,1.4574193548387098,4.901290322580645,212242.92967741936,86.35516129032258
삼천포,5A호기,202412,25.0,9.6,15.0,9.6,5.0,2.1,202412,17.608709677419355,17.235806451612902,18.985806451612905,10.26774193548387,55904.532258064515,73.41935483870968
삼천포,5B호기,202412,25.0,9.6,15.0,9.6,5.0,2.1,202412,9.651935483870966,14.589677419354837,23.536451612903225,10.340967741935483,45708.323548387096,73.44483870967741
삼천포,6A호기,202412,25.0,9.6,15.0,9.6,5.0,2.1,202412,11.944838709677418,16.84225806451613,47.59548387096774,8.113225806451613,59831.62483870968,74.22516129032257
삼천포,6B호기,202412,25.0,9.6,15.0,9.6,5.0,2.1,202412,5.027096774193549,13.633548387096774,22.697741935483872,7.944193548387097,66321.37387096774,72.86935483870967
삼천포,3A호기,202411,70.0,15.4,140.0,32.4,25.0,2.6,202411,55.94266666666667,13.162666666666667,116.435,11.884666666666668,42104.681666666664,68.89
삼천포,3B호기,202411,70.0,15.4,140.0,32.4,25.0,2.6,202411,72.55066666666667,21.087333333333333,144.66866666666664,11.747333333333334,42827.02366666667,68.91333333333334
삼천포,4A호기,202411,70.0,15.4,140.0,32.4,25.0,2.6,202411,64.63799999999999,4.578666666666666,37.02066666666667,20.937,582.175,12.553666666666667
