Date,Predicted_NOx
2025-01-01,17.403465
2025-01-02,17.266283
2025-01-03,17.20446
2025-01-04,17.173717
2025-01-05,17.1495
2025-01-06,17.117502
2025-01-07,17.085032
2025-01-08,17.047407
2025-01-09,17.007036
2025-01-10,16.969484
2025-01-11,16.934584
2025-01-12,16.901983
2025-01-13,16.869904
2025-01-14,16.84344
2025-01-15,16.820389
2025-01-16,16.800108
2025-01-17,16.781965
2025-01-18,16.765558
2025-01-19,16.75063
2025-01-20,16.737024
2025-01-21,16.724646
2025-01-22,16.713406
2025-01-23,16.703209
2025-01-24,16.693981
2025-01-25,16.685638
2025-01-26,16.678097
2025-01-27,16.671278
2025-01-28,16.665115
2025-01-29,16.65954
2025-01-30,16.654497
